Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida
1.00,-0.74,-0.87,-0.68,-0.84,-0.77,-3.69,0.58,1
1.00,-0.55,-1.12,-0.57,-1.18,-0.71,-4.06,0.50,1
1.00,-0.60,-1.14,-0.71,-0.85,-0.69,-3.93,0.46,1
1.00,-0.79,-1.04,-0.59,-1.10,-0.59,-4.06,0.48,1
1.00,-0.67,-1.01,-0.76,-1.18,-0.78,-2.24,0.52,1
1.00,-0.78,-1.08,-0.79,-1.08,-0.56,-1.87,0.55,1
1.00,-0.58,-0.81,-0.70,-1.02,-0.73,-1.38,0.46,1
1.00,-0.63,-1.13,-0.68,-1.08,-0.58,-1.36,0.62,1
1.00,-0.62,-1.00,-0.59,-1.14,-0.68,-3.92,0.60,1
1.00,-0.58,-1.07,-0.58,-0.98,-0.69,-3.16,0.56,1
1.00,-0.79,-1.10,-0.62,-0.89,-0.61,-2.12,0.49,1
1.00,-0.77,-1.17,-0.66,-0.82,-0.80,-3.69,0.62,1
1.00,-0.57,-1.11,-0.55,-0.90,-0.77,-3.23,0.59,1
1.00,-0.77,-1.18,-0.71,-0.96,-0.73,-3.68,0.57,1
1.00,-0.69,-1.13,-0.59,-1.16,-0.55,-2.55,0.55,1
1.00,-0.65,-1.17,-0.79,-0.82,-0.56,-2.04,0.56,1
1.00,-0.67,-1.11,-0.75,-0.92,-0.62,-2.76,0.60,1
1.00,-0.66,-0.92,-0.57,-1.01,-0.56,-1.99,0.55,1
1.00,-0.68,-0.82,-0.61,-0.81,-0.56,-3.86,0.58,1
1.00,-0.62,-0.91,-0.59,-0.84,-0.75,-2.19,0.54,1
1.00,-0.68,-0.86,-0.67,-1.02,-0.61,-3.93,0.49,1
1.00,-0.73,-0.92,-0.57,-1.18,-0.64,-3.11,0.62,1
1.00,-0.74,-1.07,-0.65,-1.07,-0.55,-2.78,0.53,1
1.00,-0.60,-1.04,-0.60,-0.88,-0.73,-2.62,0.51,1
1.00,-0.68,-0.85,-0.56,-0.86,-0.74,-2.04,0.48,1
1.00,-0.65,-0.84,-0.63,-0.84,-0.73,-2.23,0.62,1
1.00,-0.67,-0.90,-0.71,-1.19,-0.61,-1.18,0.57,1
1.00,-0.71,-1.15,-0.74,-0.80,-0.77,-3.03,0.58,1
1.00,-0.70,-1.16,-0.68,-1.18,-0.62,-4.22,0.59,1
1.00,-0.69,-0.88,-0.72,-0.97,-0.59,-2.63,0.47,1
1.00,-0.72,-1.07,-0.57,-1.00,-0.72,-3.61,0.56,1
1.00,-0.60,-1.09,-0.60,-1.15,-0.74,-4.36,0.48,1
1.00,-0.76,-0.83,-0.64,-0.89,-0.76,-4.00,0.56,1
1.00,-0.69,-0.99,-0.60,-1.02,-0.56,-1.36,0.49,1
1.00,-0.58,-1.00,-0.65,-0.88,-0.69,-1.97,0.46,1
1.00,-0.67,-0.85,-0.71,-1.01,-0.66,-2.74,0.57,1
1.00,-0.75,-1.04,-0.76,-0.96,-0.66,-1.67,0.50,1
1.00,-0.59,-1.05,-0.64,-1.05,-0.58,-1.25,0.62,1
1.00,-0.73,-1.06,-0.76,-1.07,-0.66,-3.95,0.54,1
1.00,-0.68,-1.03,-0.70,-1.18,-0.61,-3.18,0.53,1
1.00,-0.68,-0.85,-0.60,-0.98,-0.75,-3.13,0.56,1
1.00,-0.78,-1.02,-0.60,-1.11,-0.73,-2.44,0.49,1
1.00,-0.60,-1.19,-0.78,-1.14,-0.69,-2.27,0.49,1
1.00,-0.66,-0.94,-0.77,-1.00,-0.77,-2.61,0.45,1
1.00,-0.75,-0.87,-0.73,-1.18,-0.60,-3.04,0.59,1
1.00,-0.64,-1.05,-0.63,-1.04,-0.57,-1.00,0.47,1
1.00,-0.56,-0.81,-0.62,-1.18,-0.75,-4.08,0.61,1
1.00,-0.79,-0.82,-0.66,-0.94,-0.58,-0.90,0.59,1
1.00,-0.60,-0.86,-0.72,-1.15,-0.79,-3.96,0.59,1
1.00,-0.64,-1.11,-0.80,-1.15,-0.77,-2.18,0.46,1
1.00,-0.68,-1.06,-0.70,-0.86,-0.69,-2.04,0.56,1
1.00,-0.79,-0.88,-0.75,-0.80,-0.70,-0.93,0.47,1
1.00,-0.71,-1.19,-0.67,-1.01,-0.57,-2.28,0.62,1
1.00,-0.60,-0.87,-0.67,-0.91,-0.59,-1.65,0.52,1
1.00,-0.62,-0.91,-0.69,-0.98,-0.76,-4.19,0.47,1
1.00,-0.57,-1.03,-0.57,-1.13,-0.75,-1.87,0.54,1
1.00,-0.59,-1.03,-0.62,-0.88,-0.63,-2.32,0.52,1
1.00,-0.59,-1.06,-0.71,-0.95,-0.78,-1.97,0.47,1
1.00,-0.65,-1.14,-0.75,-0.92,-0.66,-4.27,0.57,1
1.00,-0.73,-0.81,-0.62,-0.92,-0.62,-3.84,0.49,1
1.00,-0.69,-0.87,-0.74,-0.90,-0.61,-0.92,0.56,1
1.00,-0.68,-1.13,-0.79,-0.97,-0.63,-3.83,0.54,1
1.00,-0.79,-0.96,-0.76,-1.18,-0.80,-1.81,0.62,1
1.00,-0.64,-0.91,-0.80,-1.04,-0.79,-1.04,0.47,1
1.00,-0.79,-0.90,-0.63,-0.81,-0.64,-3.50,0.58,1
1.00,-0.72,-0.82,-0.60,-1.13,-0.68,-4.22,0.54,1
1.00,-0.68,-0.84,-0.77,-1.06,-0.75,-3.17,0.52,1
1.00,-0.76,-0.89,-0.68,-0.92,-0.61,-3.02,0.59,1
1.00,-0.79,-1.18,-0.62,-1.03,-0.76,-1.42,0.49,1
1.00,-0.80,-1.04,-0.69,-1.19,-0.66,-2.77,0.50,1
1.00,-0.66,-1.08,-0.77,-0.81,-0.61,-2.57,0.59,1
1.00,-0.62,-1.18,-0.71,-0.97,-0.76,-1.98,0.55,1
1.00,-0.61,-1.05,-0.68,-0.89,-0.62,-1.85,0.47,1
1.00,-0.62,-0.87,-0.76,-1.03,-0.73,-3.48,0.51,1
1.00,-0.59,-1.13,-0.69,-1.20,-0.57,-3.31,0.53,1
1.00,-0.67,-0.87,-0.61,-1.16,-0.79,-4.47,0.62,1
1.00,-0.78,-0.85,-0.76,-1.06,-0.76,-3.01,0.48,1
1.00,-0.59,-0.96,-0.76,-1.16,-0.69,-2.15,0.58,1
1.00,-0.62,-0.98,-0.56,-1.05,-0.62,-2.38,0.59,1
1.00,-0.68,-1.19,-0.65,-0.88,-0.75,-2.26,0.56,1
1.00,-0.56,-1.08,-0.77,-1.11,-0.64,-0.86,0.57,1
1.00,-0.76,-1.19,-0.70,-1.02,-0.58,-3.23,0.58,1
