Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida
1.00,-0.69,-1.07,-0.73,-1.09,-0.66,-3.00,0.50,1
1.00,-0.70,-0.85,-0.71,-1.09,-0.71,-2.62,0.60,1
1.00,-0.58,-0.93,-0.67,-0.99,-0.79,-3.06,0.54,1
1.00,-0.60,-0.82,-0.56,-0.96,-0.77,-4.17,0.52,1
1.00,-0.62,-1.17,-0.65,-1.02,-0.62,-3.78,0.55,1
1.00,-0.80,-0.97,-0.63,-1.13,-0.66,-1.80,0.50,1
1.00,-0.63,-1.07,-0.68,-1.15,-0.58,-4.02,0.48,1
1.00,-0.62,-1.11,-0.65,-1.16,-0.68,-4.15,0.47,1
1.00,-0.55,-0.86,-0.72,-0.90,-0.70,-1.17,0.57,1
1.00,-0.61,-0.96,-0.63,-1.11,-0.75,-3.64,0.57,1
1.00,-0.71,-1.03,-0.73,-0.99,-0.72,-1.31,0.50,1
1.00,-0.65,-1.02,-0.79,-1.13,-0.62,-2.52,0.51,1
1.00,-0.71,-1.03,-0.74,-1.20,-0.69,-1.09,0.58,1
1.00,-0.70,-1.15,-0.61,-1.20,-0.58,-0.88,0.55,1
1.00,-0.63,-0.96,-0.56,-1.06,-0.75,-3.73,0.52,1
1.00,-0.79,-1.20,-0.66,-1.05,-0.80,-2.22,0.61,1
1.00,-0.60,-0.90,-0.64,-0.98,-0.79,-1.10,0.57,1
1.00,-0.56,-0.91,-0.56,-1.11,-0.73,-2.80,0.54,1
1.00,-0.63,-1.15,-0.63,-0.81,-0.60,-3.13,0.59,1
1.00,-0.68,-0.94,-0.74,-1.12,-0.57,-2.37,0.49,1
1.00,-0.60,-1.20,-0.56,-1.17,-0.60,-2.15,0.56,1
1.00,-0.57,-1.06,-0.74,-0.95,-0.70,-3.77,0.51,1
1.00,-0.64,-0.92,-0.76,-0.86,-0.78,-4.28,0.55,1
1.00,-0.57,-0.91,-0.74,-0.98,-0.62,-3.27,0.46,1
1.00,-0.65,-1.10,-0.62,-0.82,-0.65,-3.91,0.48,1
1.00,-0.73,-1.09,-0.72,-0.91,-0.61,-4.26,0.48,1
1.00,-0.74,-0.94,-0.77,-1.15,-0.62,-1.24,0.53,1
1.00,-0.77,-1.12,-0.69,-1.12,-0.62,-2.73,0.47,1
1.00,-0.60,-0.83,-0.65,-1.04,-0.60,-4.47,0.54,1
1.00,-0.62,-0.98,-0.77,-1.11,-0.70,-3.01,0.61,1
1.00,-0.71,-1.18,-0.73,-0.87,-0.56,-4.09,0.55,1
1.00,-0.70,-0.87,-0.62,-1.02,-0.55,-4.04,0.61,1
1.00,-0.57,-0.97,-0.68,-0.98,-0.64,-1.71,0.56,1
1.00,-0.66,-0.87,-0.71,-1.04,-0.60,-3.68,0.52,1
1.00,-0.67,-0.91,-0.71,-1.17,-0.77,-1.27,0.47,1
1.00,-0.74,-0.82,-0.59,-1.09,-0.60,-1.22,0.56,1
1.00,-0.79,-0.82,-0.65,-0.80,-0.59,-3.51,0.52,1
1.00,-0.71,-0.94,-0.69,-1.07,-0.76,-3.63,0.56,1
1.00,-0.65,-0.98,-0.55,-0.89,-0.61,-2.34,0.56,1
1.00,-0.70,-1.20,-0.58,-0.93,-0.75,-1.41,0.50,1
1.00,-0.56,-1.04,-0.66,-1.05,-0.59,-4.34,0.55,1
1.00,-0.72,-0.91,-0.78,-0.86,-0.75,-3.40,0.49,1
1.00,-0.64,-0.91,-0.56,-0.94,-0.78,-1.71,0.61,1
1.00,-0.64,-0.85,-0.74,-0.94,-0.60,-2.50,0.52,1
1.00,-0.75,-0.90,-0.74,-1.00,-0.64,-2.85,0.62,1
1.00,-0.58,-1.02,-0.63,-1.14,-0.75,-1.28,0.57,1
1.00,-0.59,-1.12,-0.78,-1.00,-0.74,-4.35,0.53,1
1.00,-0.72,-0.92,-0.68,-0.94,-0.59,-2.97,0.54,1
1.00,-0.73,-1.05,-0.61,-0.88,-0.78,-3.62,0.51,1
1.00,-0.63,-0.95,-0.75,-0.89,-0.79,-2.53,0.52,1
1.00,-0.73,-1.15,-0.69,-1.04,-0.56,-1.65,0.45,1
1.00,-0.62,-0.89,-0.76,-1.06,-0.56,-2.66,0.50,1
1.00,-0.65,-1.02,-0.80,-1.14,-0.79,-4.03,0.56,1
1.00,-0.76,-0.88,-0.65,-0.90,-0.66,-3.75,0.57,1
1.00,-0.74,-0.92,-0.74,-0.80,-0.70,-4.17,0.54,1
1.00,-0.76,-0.94,-0.62,-0.81,-0.66,-3.04,0.53,1
1.00,-0.79,-1.17,-0.71,-1.13,-0.69,-1.92,0.46,1
1.00,-0.55,-1.12,-0.57,-1.10,-0.59,-2.36,0.52,1
1.00,-0.68,-0.94,-0.66,-1.14,-0.59,-3.81,0.50,1
1.00,-0.55,-1.15,-0.57,-1.18,-0.64,-2.32,0.56,1
1.00,-0.62,-0.92,-0.71,-1.04,-0.78,-2.58,0.47,1
1.00,-0.61,-0.98,-0.60,-0.92,-0.57,-2.17,0.48,1
1.00,-0.76,-0.86,-0.77,-0.84,-0.77,-4.20,0.55,1
1.00,-0.72,-1.02,-0.78,-1.15,-0.74,-2.44,0.53,1
1.00,-0.71,-0.81,-0.70,-1.11,-0.56,-1.31,0.60,1
1.00,-0.70,-0.92,-0.78,-1.19,-0.70,-3.15,0.61,1
1.00,-0.62,-1.18,-0.70,-1.07,-0.56,-1.40,0.58,1
1.00,-0.61,-0.98,-0.60,-1.18,-0.62,-4.27,0.45,1
1.00,-0.66,-1.07,-0.58,-1.09,-0.61,-4.35,0.46,1
1.00,-0.74,-1.07,-0.69,-1.09,-0.75,-1.14,0.55,1
1.00,-0.74,-1.18,-0.56,-0.85,-0.72,-4.16,0.54,1
1.00,-0.67,-0.93,-0.68,-1.04,-0.71,-1.26,0.59,1
1.00,-0.79,-0.82,-0.76,-0.81,-0.60,-4.36,0.58,1
1.00,-0.56,-0.89,-0.78,-1.18,-0.68,-1.04,0.58,1
1.00,-0.72,-0.89,-0.64,-1.09,-0.76,-3.15,0.56,1
1.00,-0.77,-0.90,-0.71,-1.11,-0.77,-2.09,0.49,1
1.00,-0.71,-0.93,-0.72,-0.83,-0.58,-1.86,0.59,1
1.00,-0.62,-1.11,-0.57,-1.00,-0.73,-1.11,0.49,1
1.00,-0.73,-1.15,-0.58,-1.06,-0.76,-2.49,0.55,1
1.00,-0.57,-0.89,-0.68,-0.91,-0.74,-4.22,0.51,1
1.00,-0.71,-0.94,-0.79,-0.91,-0.68,-2.25,0.57,1
1.00,-0.61,-0.91,-0.59,-1.02,-0.80,-4.02,0.48,1
1.00,-0.60,-1.05,-0.76,-0.97,-0.76,-1.99,0.52,1
1.00,-0.74,-1.02,-0.70,-1.17,-0.64,-2.51,0.59,1
1.00,-0.73,-0.90,-0.64,-0.88,-0.75,-4.16,0.59,1
1.00,-0.70,-1.08,-0.72,-0.89,-0.75,-3.19,0.54,1
1.00,-0.67,-1.00,-0.72,-1.12,-0.59,-3.72,0.47,1
1.00,-0.75,-1.00,-0.70,-0.93,-0.79,-2.92,0.53,1
